key,enabled,identity,password,username
user-account-anonymous-01,false,"UserIdentity{name: 'John', surname: 'Doe', email: 'john.doe@acme.com'}",HIDDEN-PASSWORD,anonymous
user-account-administrator-01,true,"UserIdentity{name: 'Administrator', surname: 'Acme', email: 'administrator@acme.com'}",administrator,administrator
user-account-administrator-02,true,"UserIdentity{name: 'Administrator2', surname: 'Acme2', email: 'administrator2@acme.com'}",administrator2,administrator2
user-account-administrator-03,true,"UserIdentity{name: 'Administrator1', surname: 'Acme2', email: 'administrator1@acme.com'}",administrator1,administrator1
user-account-lecturer-01,true,"UserIdentity{name: 'Pepe', surname: 'Hidalgo', email: 'pepprof@acme.com'}",lecturer1,lecturer1
user-account-lecturer-02,true,"UserIdentity{name: 'Paco', surname: 'Rodriguez', email: 'pacprof@acme.com'}",lecturer2,lecturer2
user-account-student-01,true,"UserIdentity{name: 'student1', surname: 'student1', email: 'student1@acme.com'}",student1,student1
user-account-student-02,true,"UserIdentity{name: 'student2', surname: 'student2', email: 'student2@acme.com'}",student2,student2
user-account-student-03,true,"UserIdentity{name: 'student3', surname: 'student3', email: 'student3@acme.com'}",student3,student3
user-account-student-04,true,"UserIdentity{name: 'student4', surname: 'student4', email: 'student4@acme.com'}",student4,student4
user-account-student-05,true,"UserIdentity{name: 'student5', surname: 'student5', email: 'student5@acme.com'}",student5,student5
user-account-student-06,true,"UserIdentity{name: 'student6', surname: 'student6', email: 'student6@acme.com'}",student6,student6
user-account-student-07,true,"UserIdentity{name: 'student7', surname: 'student7', email: 'student7@acme.com'}",student7,student7
user-account-student-08,true,"UserIdentity{name: 'student8', surname: 'student8', email: 'student8@acme.com'}",student8,student8
user-account-student-09,true,"UserIdentity{name: 'student9', surname: 'student9', email: 'student9@acme.com'}",student9,student9
user-account-student-10,true,"UserIdentity{name: 'student10', surname: 'student10', email: 'student10@acme.com'}",student10,student10
user-account-student-11,true,"UserIdentity{name: 'student11', surname: 'student11', email: 'student11@acme.com'}",student11,student11
user-account-student-12,true,"UserIdentity{name: 'student12', surname: 'student12', email: 'student12@acme.com'}",student12,student12
user-account-student-13,true,"UserIdentity{name: 'student13', surname: 'student13', email: 'student13@acme.com'}",student13,student13
user-account-student-14,true,"UserIdentity{name: 'student14', surname: 'student14', email: 'student14@acme.com'}",student14,student14
user-account-student-15,true,"UserIdentity{name: 'student15', surname: 'student15', email: 'student15@acme.com'}",student15,student15
